Player,3P,2P,PTS,Salary
Michael Carter-Williams,0.4,1.9,6.4,2028594
Michael Kidd-Gilchrist,0.4,1.1,4.0,13000000
Michael Kidd-Gilchrist,0.4,1.1,4.0,810763
Michael Porter,1.0,2.1,8.0,3389400
Mikal Bridges,0.7,2.3,8.1,4161000
Mike Conley,1.8,2.9,13.5,32511623
Mike Muscala,1.1,0.5,4.8,2028594
Mike Scott,1.1,0.9,5.5,4767000
Miles Bridges,1.6,3.4,13.0,3755400
Mitchell Robinson,0.0,3.9,9.2,1559712
Miye Oni,0.0,0.0,0.0,898310
Mo Bamba,0.6,1.6,5.5,5697600
Monte Morris,0.9,2.6,8.5,1588231
Montrezl Harrell,0.0,7.7,18.8,6000000
Moritz Wagner,0.9,3.5,11.3,2063520
Myles Turner,1.4,2.7,11.9,18000000
Nassir Little,0.3,1.1,3.8,2105520
Naz Reid,1.2,1.5,7.4,898310
Nemanja Bjelica,2.1,2.6,12.3,6825000
Nerlens Noel,0.0,3.2,7.8,2028594
Nickeil Alexander-Walker,1.0,0.9,5.1,2964840
Nicolas Batum,0.6,0.6,3.6,25565217
Nicolas Claxton,0.1,1.8,4.4,898310
Nicolò Melli,1.1,1.0,6.1,3902439
Nigel Williams-Goss,0.0,0.1,0.4,1500000
Nikola Jokić,1.2,6.8,20.6,26573595
Nikola Vučević,1.7,5.9,19.0,28000000
Noah Vonleh,0.1,1.5,4.1,2000000
Noah Vonleh,0.1,1.6,4.1,2000000
Noah Vonleh,1.0,0.0,4.0,2000000
Norman Powell,2.0,3.5,15.3,10116576
Norvel Pelle,0.0,1.1,2.5,350189
OG Anunoby,1.3,2.8,10.2,2281800
Omari Spellman,0.9,1.7,7.6,1897800
Otto Porter,1.8,2.1,11.2,27250576
P.J. Tucker,1.5,1.1,7.4,8349039
P.J. Washington,1.3,3.2,11.7,3831840
Pascal Siakam,2.1,6.6,23.5,2351839
Pat Connaughton,0.7,1.2,4.9,1723050
Patrick Beverley,1.6,1.5,8.5,12345679
Patrick McCaw,0.7,1.3,4.9,4000000
Patrick Patterson,1.1,0.5,4.9,2331593
Patrick Patterson,1.1,0.5,4.9,737067
Patty Mills,2.4,1.6,11.7,12428571
Paul George,3.3,3.9,21.7,33005556
Paul Millsap,1.1,3.1,12.1,30500000
Paul Watson,0.0,0.0,0.3,50752
Paul Watson,0.0,0.0,0.0,50752
Paul Watson,0.0,0.0,0.5,50752
Quinn Cook,0.7,1.4,5.0,3000000
RJ Barrett,1.1,3.8,13.6,7839960
Rajon Rondo,1.0,2.1,7.8,2564753
Raul Neto,0.5,1.0,3.9,1737145
Rayjon Tucker,0.0,0.7,1.6,578573
Reggie Bullock,1.6,2.2,9.8,4000000
Reggie Jackson,2.2,3.2,14.9,18086956
Richaun Holmes,0.0,5.5,13.1,4767000
Ricky Rubio,1.1,3.2,12.3,16190476
Robert Covington,2.3,2.2,12.8,11301219
Robert Covington,2.3,2.3,12.8,11301219
Robert Covington,2.8,1.5,12.3,11301219
Robert Williams,0.0,1.7,3.9,1937520
Robin Lopez,0.4,1.8,5.2,4767000
Rodions Kurucs,0.8,1.0,4.8,1699236
Rodney Hood,1.7,2.5,11.0,5718000
Rodney McGruder,0.5,0.8,3.4,4629630
Romeo Langford,0.2,0.8,3.0,3458400
Rondae Hollis-Jefferson,0.0,2.8,7.6,2500000
Royce O'Neale,1.2,0.9,5.9,1618520
Rudy Gay,0.9,2.5,9.5,14000000
Rudy Gobert,0.0,6.0,15.6,25008427
Rui Hachimura,0.4,5.3,13.9,4469160
Russell Westbrook,1.0,9.6,27.2,38178000
Ryan Anderson,0.5,0.5,2.5,5214583
